"filename", "language", "C", "Makefile", "Markdown", "CSV", "C++", "YAML", "comment", "blank", "total"
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\.github\workflows\CodeQuality_Dynamic.yml", "YAML", 0, 0, 0, 0, 0, 19, 0, 4, 23
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\.github\workflows\c-cpp.yml", "YAML", 0, 0, 0, 0, 0, 13, 0, 5, 18
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\.github\workflows\cppcheck.yml", "YAML", 0, 0, 0, 0, 0, 15, 0, 5, 20
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\.github\workflows\gcov.yml", "YAML", 0, 0, 0, 0, 0, 18, 7, 7, 32
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\.github\workflows\gitinspector.yml", "YAML", 0, 0, 0, 0, 0, 32, 15, 5, 52
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\.github\workflows\unity.yml", "YAML", 0, 0, 0, 0, 0, 13, 0, 5, 18
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\1_Requirements\Readme.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 15, 46
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\2_Design\Readme.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 4, 13
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\3_Implementation\Makefile", "Makefile", 0, 29, 0, 0, 0, 0, 20, 17, 66
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\3_Implementation\Readme.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 2, 10
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\3_Implementation\inc\calculator_operations.h", "C++", 0, 0, 0, 0, 10, 0, 30, 7, 47
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\3_Implementation\project_main.c", "C", 80, 0, 0, 0, 0, 0, 15, 17, 112
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\3_Implementation\src\calculator_operations.c", "C", 20, 0, 0, 0, 0, 0, 0, 4, 24
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\3_Implementation\test\test_calculator_operations.c", "C", 38, 0, 0, 0, 0, 0, 17, 14, 69
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\3_Implementation\unity\unity.c", "C", 1757, 0, 0, 0, 0, 0, 148, 207, 2112
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\3_Implementation\unity\unity.h", "C++", 0, 0, 0, 0, 506, 0, 106, 50, 662
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\3_Implementation\unity\unity_internals.h", "C++", 0, 0, 0, 0, 798, 0, 103, 133, 1034
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\4_TestPlan\readme.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 5, 18
"f:\workspace\L&T Work\lntassignments\mini_project\AppliedSDLC_Template-main\Readme.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 11, 38
"f:\workspace\L&T Work\lntassignments\static-checks\example1.c", "C", 20, 0, 0, 0, 0, 0, 2, 5, 27
"f:\workspace\L&T Work\lntassignments\static-checks\example2.c", "C", 21, 0, 0, 0, 0, 0, 0, 6, 27
"f:\workspace\L&T Work\lntassignments\static-checks\example3.c", "C", 15, 0, 0, 0, 0, 0, 0, 4, 19
"f:\workspace\L&T Work\lntassignments\static-checks\example4.c", "C", 17, 0, 0, 0, 0, 0, 0, 4, 21
"f:\workspace\L&T Work\lntassignments\static-checks\example5.c", "C", 15, 0, 0, 0, 0, 0, 0, 2, 17
"f:\workspace\L&T Work\lntassignments\valgrind-examples\README.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 8, 29
"f:\workspace\L&T Work\lntassignments\valgrind-examples\example1.c", "C", 21, 0, 0, 0, 0, 0, 0, 6, 27
"f:\workspace\L&T Work\lntassignments\valgrind-examples\example2.c", "C", 21, 0, 0, 0, 0, 0, 0, 6, 27
"f:\workspace\L&T Work\lntassignments\valgrind-examples\example3.c", "C", 14, 0, 0, 0, 0, 0, 0, 4, 18
"f:\workspace\L&T Work\lntassignments\valgrind-examples\example4.c", "C", 18, 0, 0, 0, 0, 0, 2, 3, 23
"f:\workspace\L&T Work\lntassignments\valgrind-examples\example5.c", "C", 14, 0, 0, 0, 0, 0, 1, 2, 17
"Total", "-", 6320, 73, 214, 3, 3998, 110, 1427, 1562, 13707
